Freq[Hz]     dBSPL  Phase[Deg]
1810.19     94.456   -20.725
1836.52     94.294   -21.584
1863.24     94.120   -22.316
1890.34     93.948   -22.903
1917.83     93.785   -23.343
1945.73     93.628   -23.644
1974.03     93.469   -23.813
2002.74     93.309   -23.848
2031.87     93.153   -23.746
2061.43     93.003   -23.502
2091.41     92.862   -23.114
2121.83     92.730   -22.583
2152.69     92.606   -21.911
2184.01     92.496   -21.094
2215.77     92.395   -20.118
2248.00     92.300   -18.946
2280.70     92.207   -17.522
2313.87     92.121   -15.772
2347.53     92.062   -13.625
2381.68     92.063   -11.059
2416.32     92.174    -8.148
2451.46     92.443    -5.110
2487.12     92.908    -2.295
2523.30     93.564    -0.096
2560.00     94.361     1.185
2597.24     95.221     1.422
2635.01     96.067     0.660
2673.34     96.843    -0.943
2712.23     97.512    -3.174
2751.68     98.059    -5.806
2791.70     98.483    -8.627
2832.31     98.805   -11.465
2873.50     99.059   -14.200
2915.30     99.299   -16.799
2957.70     99.584   -19.335
3000.72     99.960   -21.976
3044.37    100.452   -24.947
3088.65    101.032   -28.447
3133.58    101.640   -32.577
3179.16    102.199   -37.326
3225.40    102.634   -42.591
3272.31    102.894   -48.215
3319.91    102.948   -54.019
3368.20    102.793   -59.821
3417.19    102.448   -65.433
3466.89    101.952   -70.676
3517.32    101.362   -75.399
3568.48    100.737   -79.499
3620.39    100.131   -82.945
3673.05     99.573   -85.788
3726.47     99.065   -88.127
3780.67     98.595   -90.074
3835.67     98.147   -91.723
3891.46     97.710   -93.131
3948.06     97.282   -94.328
4005.49     96.866   -95.323
4063.75     96.456   -96.098
4122.86     96.035   -96.601
4182.82     95.587   -96.740
4243.66     95.102   -96.364
4305.39     94.598   -95.293
4368.01     94.123   -93.360
4431.55     93.750   -90.495
4496.01     93.581   -86.867
4561.40     93.708   -82.973
4627.75     94.176   -79.560
4695.06     94.949   -77.355
4763.35     95.913   -76.792
4832.64     96.932   -77.933
4902.93     97.892   -80.585
4974.24     98.711   -84.430
5046.60     99.330   -89.103
5120.00     99.708   -94.237
5194.47     99.819   -99.475
5270.03     99.649  -104.465
5346.68     99.208  -108.845
5424.45     98.539  -112.223
5503.35     97.740  -114.198
5583.40     96.988  -114.486
5664.61     96.534  -113.226
5747.01     96.599  -111.252
5830.60     97.211  -109.835
5915.41     98.182  -109.976
