Freq[Hz]  Imp[Ohm]  Phase[Deg]
16255.0      7.784    33.591
16491.4      7.836    33.773
16731.3      7.899    33.950
16974.7      7.961    34.122
17221.6      8.006    34.294
17472.1      8.043    34.493
17726.2      8.098    34.714
17984.0      8.166    34.937
18245.6      8.247    35.136
18511.0      8.330    35.272
18780.2      8.401    35.359
19053.4      8.471    35.429
19330.5      8.540    35.488
19611.7      8.604    35.542
19897.0      8.668    35.599
20186.4      8.733    35.657
20480.0      8.799    35.714
20777.9      8.864    35.768
21080.1      8.929    35.818
21386.7      8.995    35.865
21697.8      9.060    35.908
22013.4      9.125    35.949
22333.6      9.191    35.987
22658.4      9.256    36.023
22988.0      9.321    36.057
23322.4      9.387    36.088
23661.6      9.452    36.117
24005.8      9.517    36.144
24355.0      9.583    36.170
24709.2      9.648    36.194
25068.6      9.714    36.216
25433.2      9.779    36.237
25803.2      9.844    36.258
26178.5      9.910    36.277
26559.3      9.975    36.295
26945.6     10.040    36.312
27337.5     10.106    36.328
27735.2     10.171    36.345
28138.6     10.236    36.360
28547.9     10.302    36.376
28963.1     10.367    36.391
29384.4     10.432    36.405
29811.8     10.498    36.420
30245.4     10.563    36.436
30685.3     10.629    36.451
31131.7     10.694    36.467
31584.5     10.759    36.483
32043.9     10.825    36.500
32510.0     10.890    36.518
32982.8     10.955    36.537
33462.6     11.021    36.556
33949.3     11.086    36.578
34443.1     11.151    36.600
34944.1     11.217    36.625
35452.4     11.282    36.652
35968.0     11.347    36.681
36491.2     11.413    36.713
37022.0     11.478    36.749
37560.5     11.544    36.790
38106.8     11.608    36.832
38661.1     11.669    36.876
39223.4     11.716    36.913
39793.9     11.747    36.942
